file,Delay_samples,Delay_ms,Aligned_samples,SNR_dB,SSNR_dB,SI_SDR_dB,PESQ,STOI
p232_001.wav,480,10.0,82560,14.572839179524458,7.328237128068029,14.419958376274424,2.4509668350219727,0.8805330716662922
p232_002.wav,480,10.0,129120,13.16103933498196,8.586635049119806,12.94800195199735,3.100705862045288,0.9535706538744829
p232_003.wav,480,10.0,343680,13.630953217166029,8.384718063029041,13.441572873707852,2.946927070617676,0.9595329545134408
p232_005.wav,480,10.0,298560,9.32810787510801,6.09893204986092,8.843176626025382,1.7856941223144531,0.8952574935886365
p232_006.wav,480,10.0,243840,13.020215541640752,9.057366976225337,12.80448314096789,2.343463182449341,0.9576136686725013
p232_007.wav,479,9.979166666666666,188641,12.061771099768649,7.482278746003815,11.82322452943907,2.079089879989624,0.9465513938775489
p232_009.wav,479,9.979166666666666,198241,12.251590069692323,7.270379664929043,11.985439624781641,2.295011043548584,0.9631377252234464
p232_010.wav,479,9.979166666666666,131521,5.521000783632653,1.0577287765052346,4.092968012885214,1.423034906387329,0.8138998815461503
p232_011.wav,480,10.0,312480,13.764539110336367,8.839224070829648,13.578252690387139,2.5887131690979004,0.9445630628216871
p232_012.wav,480,10.0,206880,13.554746188456017,8.931453854010936,13.362605253694497,2.3897902965545654,0.9471050704904349
p232_013.wav,480,10.0,188160,9.165248756240649,5.215744118777861,8.609190690717202,1.6241960525512695,0.9185930919943305
p232_014.wav,480,10.0,220320,9.999617255047589,6.260333452914532,9.54412231152234,1.7319031953811646,0.9186777225273449
p232_015.wav,480,10.0,253920,14.735809212505783,10.532641088790811,14.591352968268321,3.051339864730835,0.9566491318292994
p232_016.wav,480,10.0,265920,14.154937801636995,10.193734648626142,13.98751324094459,2.9951844215393066,0.9640881968560945
p232_017.wav,480,10.0,137280,13.283933100712881,7.713768026060238,13.077779953760405,2.2525320053100586,0.9640104401904439
p232_019.wav,480,10.0,322080,12.290597600721721,8.041502581139659,12.029594530738215,2.7004215717315674,0.9762748061017412
p232_020.wav,479,9.979166666666666,172321,12.156747202967722,7.52053190640584,11.884066451570368,2.368053674697876,0.934995495817116
p232_021.wav,480,10.0,407040,14.26984155225033,9.812831963523532,14.104395939724439,2.589237928390503,0.9723417823741088
p232_022.wav,480,10.0,276960,11.20567951952408,8.286997703423458,10.867816327370727,2.4154348373413086,0.9715602503240068
p232_023.wav,480,10.0,467520,8.914363704875685,5.203962636308995,8.362841166373478,1.7224701642990112,0.9537416374549278
p232_024.wav,479,9.979166666666666,264001,14.383703617321245,10.620518569496555,14.224783276197746,3.7641544342041016,0.9936058754305505
p232_025.wav,480,10.0,88800,12.771366050525064,6.305815220755005,12.53575959553884,2.630582094192505,0.947418904773492
p232_027.wav,479,9.979166666666666,180001,12.61191766174747,8.028327427634053,12.38934234667391,3.0860579013824463,0.9734614556429535
p232_028.wav,480,10.0,97920,8.144561920368558,3.1094696502132653,7.491313900331347,1.6471683979034424,0.8368524127483433
p232_029.wav,480,10.0,162720,13.342410381101633,7.261281563477504,13.15265039111823,2.1459131240844727,0.9682522965112104
p232_030.wav,480,10.0,183360,13.546506472998255,9.032527887152566,13.350601419113385,2.821073055267334,0.9909875309868476
p232_031.wav,480,10.0,108960,11.897238349054275,5.16896411209319,11.609994021081263,1.6388928890228271,0.7942544896909763
p232_032.wav,480,10.0,166560,7.129564969326873,3.7109460881650294,6.199688346774944,1.4597082138061523,0.8420047855271869
p232_033.wav,479,9.979166666666666,68161,14.45511158134236,5.863530684588452,14.298284141188395,2.838716745376587,0.790493181869094
p232_034.wav,480,10.0,69600,11.772446749292211,6.122250071283354,11.50203919165894,1.9996016025543213,0.8735295039418659
p232_035.wav,480,10.0,150240,10.695643626205666,6.316015729221492,10.413398145689378,2.3139355182647705,0.9596969847645992
p232_036.wav,480,10.0,135360,7.1269466511790105,2.685382377631846,6.191492120879742,1.557937502861023,0.8246200155054116
p232_037.wav,479,9.979166666666666,183841,14.74166690484406,9.195400117562773,14.599511078851911,3.3649215698242188,0.99368034327282
p232_038.wav,480,10.0,99360,14.514137776836742,7.571989843602961,14.359078146804286,2.9862492084503174,0.9311153643608724
p232_039.wav,480,10.0,92160,13.362397392826805,4.583692008150184,13.15861270140175,2.151266574859619,0.7884503740697352
p232_040.wav,480,10.0,89760,12.6555545776475,5.975193560511321,12.413333873104872,2.811211585998535,0.9949970339207755
p232_041.wav,480,10.0,95040,12.362414475068604,6.093360891895235,12.12598138874289,1.64666748046875,0.8503274284515298
p232_042.wav,479,9.979166666666666,119521,14.581067059131973,8.096520705132338,14.427718435834372,2.648776054382324,0.9945531269691751
p232_043.wav,479,9.979166666666666,93121,10.403665682977753,3.662239030160952,9.999789652872371,1.935144066810608,0.8495354223233335
p232_044.wav,479,9.979166666666666,65281,9.062949591839809,1.4616876028710017,8.515734771750479,1.4968762397766113,0.7916388009082871
p232_045.wav,480,10.0,58080,14.560696702423288,6.328971762694134,14.421300788308866,3.377044200897217,0.9058683623553858
p232_046.wav,480,10.0,66720,12.287852532376258,4.608601474044053,12.025690081142715,1.9244964122772217,0.774691604058706
p232_047.wav,480,10.0,91200,9.410918887221417,3.6621440741592703,8.896622462625606,1.8937795162200928,0.9224845561308151
p232_048.wav,480,10.0,85920,6.096559270665792,0.2353498286788106,4.873803647030472,1.6135079860687256,0.6533705475014445
p232_049.wav,480,10.0,140160,13.345598445585942,8.857761589890918,13.142255933110778,2.8491768836975098,0.9888306028642123
p232_050.wav,480,10.0,82080,11.678016946155807,4.863712190688039,11.373242290144619,1.6836820840835571,0.9026184843681597
p232_051.wav,479,9.979166666666666,69601,11.735995678561995,3.5127859750573514,11.441670307766449,2.0456783771514893,0.9150651415991252
