file,Delay_samples,Delay_ms,Aligned_samples,SNR_dB,SSNR_dB,SI_SDR_dB,PESQ,STOI
clnsp0.wav,480,10.0,528000,14.372752037250603,10.54690062455476,14.211457047937637,2.8017163276672363,0.9678378529453073
clnsp1.wav,480,10.0,542400,16.279495924835885,13.119121401670599,16.176079108679613,3.604954481124878,0.9930972909181962
clnsp10.wav,480,10.0,701280,14.592804455932404,8.61187296598852,14.505467233323998,2.865485429763794,0.9724817470453658
clnsp100.wav,480,10.0,605760,13.087685520741388,9.948494981772177,12.874671333855261,1.6323432922363281,0.9176358276176285
clnsp1000.wav,480,10.0,704160,16.403949512739956,10.280793277938537,16.318533613867487,1.9493762254714966,0.9553246726544923
clnsp1001.wav,480,10.0,509760,13.110460926703993,9.815343762409988,13.020641936571366,2.56654691696167,0.9416408503089273
clnsp1002.wav,479,9.979166666666666,588481,17.2208644132319,12.061577519738073,17.137962204720477,2.4766793251037598,0.9875763220997054
clnsp1003.wav,480,10.0,520320,10.296605851297,11.58035409580063,10.14008890953849,3.4504613876342773,0.9827142517237046
clnsp1004.wav,480,10.0,592320,16.597649435941523,12.98120609491241,16.550378144746784,2.7512166500091553,0.9798352647986232
clnsp1005.wav,480,10.0,579840,11.872707122175573,8.690094678968503,11.64398261523152,1.9876563549041748,0.9521372776940151
clnsp1006.wav,480,10.0,501120,17.011095011104352,11.280270716086122,16.928788309256497,2.6311697959899902,0.9781331626808446
clnsp1007.wav,480,10.0,701760,11.643195369330993,7.175584356298329,11.337172509536149,1.6031672954559326,0.93820421461096
clnsp1008.wav,480,10.0,538080,16.74804110972081,11.520428347956543,16.67573819725727,3.1947576999664307,0.988724451973467
clnsp1009.wav,480,10.0,572640,14.72750191608476,11.097287424741198,14.582319131829228,2.159080982208252,0.9606930222633362
clnsp101.wav,480,10.0,656640,16.021569128042614,11.649850526231159,15.999708806293127,2.944601058959961,0.9823372863540605
clnsp1010.wav,480,10.0,479520,17.337259970202176,12.142602217864713,17.257954743382868,2.1464779376983643,0.9755545180940941
clnsp1011.wav,480,10.0,501120,12.479874980715778,7.074494746567201,12.345533727236269,1.8616799116134644,0.9041928168717589
clnsp1012.wav,480,10.0,521760,17.792208764032743,13.509206242756182,17.749572618506193,3.1895065307617188,0.979363523638114
clnsp1013.wav,479,9.979166666666666,709441,3.5398988630660777,1.3538127820534407,9.365757851673846,1.346787452697754,0.8464865046813177
clnsp1014.wav,480,10.0,495360,2.5328248796247936,-0.5026419132459138,-0.8777391096941094,1.1095842123031616,0.6290809685615725
clnsp1015.wav,480,10.0,486240,14.736992912086375,12.715982918230022,14.599329655818533,2.760436773300171,0.9776872721330179
clnsp1016.wav,480,10.0,486720,5.665753601632899,2.1877001267921488,4.327188690619346,1.1222684383392334,0.7745538382961212
clnsp1017.wav,480,10.0,684000,15.341626705139612,9.951216652260516,15.384301144551207,2.093320846557617,0.9640983174876007
clnsp1018.wav,480,10.0,489120,7.441924669218566,5.992809079044622,6.611019742027827,1.512298822402954,0.90240963512666
clnsp1019.wav,480,10.0,559200,9.501969427366543,5.176311174244717,9.120164830587047,1.3361889123916626,0.8827769542444992
clnsp102.wav,480,10.0,612480,5.598318276740459,3.230009426673683,4.221198469927016,1.2675683498382568,0.8025158068689633
clnsp1020.wav,479,9.979166666666666,573121,5.614576795158364,2.29997047696848,4.268981375128334,1.160503625869751,0.751661718734078
clnsp1021.wav,480,10.0,554400,16.90697194297712,12.200741356799933,16.836132870892,3.314527750015259,0.9719190792533199
clnsp1022.wav,480,10.0,540960,15.429991138358437,10.583073958918094,15.338167964830633,2.3521740436553955,0.9569869539756998
clnsp1023.wav,480,10.0,518400,9.405877366451458,6.906794271042331,8.917422950556631,1.3769733905792236,0.8720412272997227
clnsp1024.wav,480,10.0,520320,18.21656936862848,12.86491394445525,18.159507539480877,3.3729047775268555,0.9812097378172446
