file,Delay_samples,Delay_ms,Aligned_samples,SNR_dB,SSNR_dB,SI_SDR_dB,PESQ,STOI
p232_001.wav,0,0.0,27861,23.303840988489885,12.077252741884594,23.287879591810672,3.0220835208892822,0.8922630437771697
p232_002.wav,0,0.0,43444,23.027737203739065,15.612424336324093,23.051275024654373,3.2366724014282227,0.9734714075113141
p232_003.wav,0,0.0,114958,21.96956344936244,13.966356051403475,21.961071218797553,2.964033365249634,0.9725840104557067
p232_005.wav,0,0.0,99946,16.48808414927275,11.538062127556081,16.39416638188463,2.129610061645508,0.9151685368437916
p232_006.wav,0,0.0,81656,22.435496744798932,15.279595438622655,22.439663858240564,2.8658857345581055,0.9690041935302948
p232_007.wav,0,0.0,63295,18.51387145751529,12.58118604957303,18.45527734696557,2.818997383117676,0.959468065039894
p232_009.wav,0,0.0,66522,19.89206941640148,12.70231756435207,19.877034119130922,2.644747018814087,0.9681946084929485
p232_010.wav,0,0.0,44230,11.094850413038946,4.247427985833002,10.746099513640877,1.483612060546875,0.8746581841103493
p232_011.wav,0,0.0,104611,21.715600438929687,15.061986044599369,21.701064535627076,3.294067144393921,0.9644071563214177
p232_012.wav,0,0.0,69371,20.133923642284376,14.148573821842502,20.098570011689446,2.978405237197876,0.96388843117663
p232_013.wav,0,0.0,63095,16.75505096347817,10.592688183200226,16.666432704012273,2.67513108253479,0.9552077274972237
p232_014.wav,0,0.0,73870,17.143036599719238,11.513933380264707,17.07835730396348,2.330207109451294,0.9403498129055465
p232_015.wav,0,0.0,85119,26.043640624339275,19.569386068453014,26.06431787965709,3.8327364921569824,0.9892266011250621
p232_016.wav,0,0.0,89110,23.905903929805827,18.36533647710748,23.913562359639826,3.5454182624816895,0.9834167255069137
p232_017.wav,0,0.0,46229,23.849289576542088,14.993414678129422,23.849915492480225,3.0114991664886475,0.9872067373718963
p232_019.wav,0,0.0,107769,21.397473833938882,14.600472895968649,21.391407327624208,2.5064220428466797,0.9821937968409595
p232_020.wav,0,0.0,57867,23.2687951514947,14.808679775862789,23.298208390048615,3.253784656524658,0.970552194378819
p232_021.wav,0,0.0,136152,23.736146333555737,16.73921232931688,23.729955418142787,3.0665409564971924,0.9788779852869722
p232_022.wav,0,0.0,92704,20.321091663552426,15.053302975812544,20.29412849489677,2.7645726203918457,0.9806373521640885
p232_023.wav,0,0.0,156302,17.736538669540476,11.460536107519756,17.666426109199104,2.1382217407226562,0.9644681039005571
p232_024.wav,0,0.0,88327,25.790444044579974,20.17671085192411,25.82944414851398,4.059950351715088,0.9969010995249228
p232_025.wav,0,0.0,30011,24.046414830413518,13.70538478609349,24.05365256669547,2.744568109512329,0.9771977323661942
p232_027.wav,0,0.0,60339,23.792264290288514,17.318708861874523,23.7821404846841,3.4403586387634277,0.9872365446222438
