file,Delay_samples,Delay_ms,Aligned_samples,SNR_dB,SSNR_dB,SI_SDR_dB,PESQ,STOI,Input_SNR_dB,Input_SSNR_dB,Input_SI_SDR_dB,Input_PESQ,Input_STOI
p264_seq0000.wav,0,0.0,229994,38.68676027585286,29.86535237488019,38.73729542526025,4.1386919021606445,0.9868847651031228,41.50274534797137,30.024948549694006,41.50250841780313,3.7259762287139893,0.9855473383832276
p264_seq0001.wav,0,0.0,176160,32.118603864765205,25.52178385794231,32.12887624511857,3.6413567066192627,0.9609022867844355,31.39302346814107,24.229968870933547,31.396430338283086,2.9960076808929443,0.9509665338932639
p264_seq0002.wav,0,0.0,270560,14.776026121081152,9.97248519637464,14.635505700728011,2.0818841457366943,0.8558471283925965,-3.2374071528279242,-0.7478223634404869,-3.2879887387512987,1.09847092628479,0.8411890913267109
p264_seq0003.wav,0,0.0,237280,14.811669536949662,8.57666756664403,14.690370188438319,1.7694193124771118,0.8319259914452561,2.358484267761998,-2.2597696927309117,2.2991807657995382,1.094209909439087,0.817944226081132
p264_seq0004.wav,0,0.0,230080,32.8602806768493,24.793052815845613,32.86602293363167,3.708951473236084,0.9468997404402695,32.03077879823463,23.51809115164701,32.03036477823066,3.081670045852661,0.9333547421932877
p264_seq0005.wav,0,0.0,196160,29.210849898440742,25.424899373663266,29.212425139302816,3.235574722290039,0.9663681624205878,28.522885867676116,25.205126575048887,28.52321288272714,2.8114943504333496,0.9549086719976747
p264_seq0006.wav,0,0.0,204960,25.788463453685008,20.096891283591734,25.781690008153216,3.144280195236206,0.9395242318471883,22.05925393979318,16.27831944673279,22.06021046434461,2.3182311058044434,0.9340173539065004
p264_seq0007.wav,0,0.0,218588,30.862029407213427,23.946345370516624,30.86531742256398,3.785783052444458,0.9406643710680949,27.766425546743577,20.981930818771485,27.766963476891018,2.886868476867676,0.923729930678076
p264_seq0008.wav,0,0.0,191360,30.94621965200938,25.06130386719173,30.982791174178324,3.6928935050964355,0.9818000045715353,28.91075020693506,24.148299729438058,28.914755663203145,3.1701018810272217,0.9762350425697938
p264_seq0009.wav,0,0.0,177440,29.481748711682748,22.432635785455425,29.485679184340544,3.893143892288208,0.9502378304301766,28.871455693850564,21.912706293768224,28.87093162024394,3.602614164352417,0.9624957647477521
